127.0.0.1 - - [27/May/2023:00:00:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/May/2023:00:01:00 +0530] "GET /user-springmvc-app/ HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [27/May/2023:00:01:14 +0530] "GET /user-springmvc-app/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:00:01:14 +0530] "GET /user-springmvc-app/login.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [27/May/2023:00:01:29 +0530] "GET /user-springmvc-app/print.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:00:01:29 +0530] "GET /user-springmvc-app/login.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [27/May/2023:00:03:05 +0530] "GET /user-springmvc-app/update.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:00:03:05 +0530] "GET /user-springmvc-app/login.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [27/May/2023:00:03:13 +0530] "GET /user-springmvc-app/login.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [27/May/2023:00:03:43 +0530] "GET /user-springmvc-app/viewUser.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2023:00:03:43 +0530] "GET /user-springmvc-app/login.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [27/May/2023:00:04:06 +0530] "POST /user-springmvc-app/login HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [27/May/2023:00:04:10 +0530] "GET /user-springmvc-app/viewUser.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [27/May/2023:00:04:17 +0530] "POST /user-springmvc-app/login HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [27/May/2023:00:04:20 +0530] "GET /user-springmvc-app/update.jsp HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [27/May/2023:00:04:27 +0530] "POST /user-springmvc-app/login HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [27/May/2023:00:04:30 +0530] "GET /user-springmvc-app/logout HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [27/May/2023:00:04:40 +0530] "GET /user-springmvc-app/register.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [27/May/2023:00:04:45 +0530] "GET /user-springmvc-app/login.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [27/May/2023:00:05:01 +0530] "POST /user-springmvc-app/login HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [27/May/2023:00:05:03 +0530] "GET /user-springmvc-app/delete?id=1 HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [27/May/2023:00:08:35 +0530] "GET /user-springmvc-app/register.jsp HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [27/May/2023:00:08:49 +0530] "POST /user-springmvc-app/save HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/May/2023:00:11:24 +0530] "GET /user-springmvc-app/login.jsp HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [27/May/2023:00:11:38 +0530] "POST /user-springmvc-app/login HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [27/May/2023:00:12:09 +0530] "GET /user-springmvc-app/logout HTTP/1.1" 200 512
